model_id,domain,grid,encoding,backend,gamma,epsilon,status,error,src_n_src_lines,src_n_rules_src,src_n_fluent_decls,src_n_action_decls,src_n_utility_decls,mdp_n_factors,mdp_bases,mdp_state_space,mdp_n_actions,mdp_n_fluents,mdp_sa_pairs,iterations,n_evals,successful_runs,t_build_mean,t_build_std,t_build_median,t_build_min,t_build_max,t_vi_mean,t_vi_std,t_vi_median,t_vi_min,t_vi_max,t_total_mean,t_total_std,t_total_median,t_total_min,t_total_max,t_parse_mean,t_parse_std,t_parse_median,t_parse_min,t_parse_max,t_classify_mean,t_classify_std,t_classify_median,t_classify_min,t_classify_max,t_ground_mean,t_ground_std,t_ground_median,t_ground_min,t_ground_max,t_compile_mean,t_compile_std,t_compile_median,t_compile_min,t_compile_max
mitchell_32x32_factorized,mitchell,32x32,factorized,sdd,0.9,0.01,OK,,27,21,2,1,1,2,"[32, 32]",1024,5,64,5120,32,163840,10,0.666278,0.080262,0.629828,0.600023,0.844337,58.270277,3.779661,57.455645,51.553595,63.557107,58.936555,3.789454,58.085277,52.153618,64.216643,0.0049,0.000631,0.0047,0.0043,0.0064,0.00306,0.000299,0.003,0.0027,0.0037,0.57155,0.070545,0.53925,0.5152,0.7291,0.08525,0.008912,0.0836,0.0763,0.1033
mitchell_3x3_factorized,mitchell,3x3,factorized,ddnnf,0.9,0.01,OK,,27,21,2,1,1,2,"[3, 3]",9,5,6,45,3,135,10,0.047601,0.001644,0.04733,0.045801,0.051253,0.456325,0.016106,0.448835,0.441707,0.490788,0.503926,0.015294,0.496499,0.490754,0.536589,0.00372,0.00022,0.0037,0.0034,0.0041,0.0006,0,0.0006,0.0006,0.0006,0.02378,0.000518,0.02375,0.0229,0.0247,0.0187,0.001621,0.0183,0.0165,0.0218
mitchell_3x3_factorized,mitchell,3x3,factorized,darwiche,0.9,0.01,OK,,27,21,2,1,1,2,"[3, 3]",9,5,6,45,3,135,10,0.057241,0.028856,0.047473,0.045502,0.139131,0.117292,0.003171,0.116156,0.113681,0.12341,0.174533,0.028815,0.165922,0.160334,0.25571,0.00383,0.000362,0.0037,0.0035,0.0048,0.00061,0.000032,0.0006,0.0006,0.0007,0.02452,0.001244,0.02405,0.0233,0.0276,0.02741,0.029095,0.018,0.0161,0.11
mitchell_3x3_factorized,mitchell,3x3,factorized,sdd,0.9,0.01,OK,,27,21,2,1,1,2,"[3, 3]",9,5,6,45,3,135,10,0.047595,0.005134,0.045769,0.045464,0.062012,0.019479,0.000408,0.019357,0.01901,0.020367,0.067074,0.005216,0.065043,0.064474,0.081526,0.00357,0.000125,0.0036,0.0034,0.0038,0.0006,0,0.0006,0.0006,0.0006,0.02522,0.003373,0.024,0.0237,0.0346,0.01742,0.001715,0.017,0.0163,0.0222
mitchell_4x4_factorized,mitchell,4x4,factorized,ddnnf,0.9,0.01,OK,,27,21,2,1,1,2,"[4, 4]",16,5,8,80,4,320,10,0.063277,0.013681,0.058897,0.056501,0.10187,1.079562,0.025306,1.077077,1.046217,1.137193,1.142839,0.024147,1.13776,1.106433,1.197042,0.00373,0.000048,0.0037,0.0037,0.0038,0.00069,0.000032,0.0007,0.0006,0.0007,0.03709,0.014672,0.0323,0.0318,0.0788,0.02097,0.002338,0.02115,0.0173,0.0251
mitchell_4x4_factorized,mitchell,4x4,factorized,darwiche,0.9,0.01,OK,,27,21,2,1,1,2,"[4, 4]",16,5,8,80,4,320,10,0.063025,0.015626,0.0578,0.055862,0.107078,0.219764,0.001666,0.219655,0.217555,0.222649,0.282789,0.016668,0.278175,0.274314,0.329726,0.00373,0.000067,0.0037,0.0036,0.0038,0.00069,0.000032,0.0007,0.0006,0.0007,0.03722,0.014741,0.0323,0.032,0.0791,0.02058,0.002037,0.02035,0.0184,0.0243
mitchell_4x4_factorized,mitchell,4x4,factorized,sdd,0.9,0.01,OK,,27,21,2,1,1,2,"[4, 4]",16,5,8,80,4,320,10,0.057737,0.002076,0.056889,0.055805,0.062479,0.04245,0.001689,0.042132,0.040575,0.045008,0.100188,0.003353,0.099066,0.096827,0.106504,0.00388,0.000225,0.0038,0.0037,0.0044,0.00071,0.000032,0.0007,0.0007,0.0008,0.03419,0.001875,0.0333,0.0329,0.0384,0.01807,0.000472,0.018,0.0176,0.0193
mitchell_6x6_factorized,mitchell,6x6,factorized,ddnnf,0.9,0.01,OK,,27,21,2,1,1,2,"[6, 6]",36,5,12,180,6,1080,10,0.082295,0.004322,0.082294,0.076619,0.089658,4.13838,0.140865,4.099626,3.95735,4.393053,4.220675,0.14165,4.183924,4.034729,4.476452,0.00398,0.000358,0.0038,0.0036,0.0047,0.00086,0.00007,0.00085,0.0008,0.001,0.05347,0.003945,0.0525,0.0493,0.06,0.02305,0.00204,0.0235,0.0202,0.0264
mitchell_6x6_factorized,mitchell,6x6,factorized,darwiche,0.9,0.01,OK,,27,21,2,1,1,2,"[6, 6]",36,5,12,180,6,1080,10,0.080929,0.002427,0.081603,0.076887,0.084302,0.620542,0.031991,0.609672,0.584328,0.671463,0.701471,0.031166,0.692712,0.666088,0.751306,0.00388,0.00021,0.0039,0.0036,0.0043,0.00084,0.00007,0.0008,0.0008,0.001,0.05163,0.002976,0.0504,0.0492,0.0581,0.02368,0.002634,0.02435,0.0204,0.0275
mitchell_6x6_factorized,mitchell,6x6,factorized,sdd,0.9,0.01,OK,,27,21,2,1,1,2,"[6, 6]",36,5,12,180,6,1080,10,0.086853,0.025536,0.076885,0.075603,0.15867,0.157446,0.009852,0.153855,0.152884,0.185129,0.244299,0.027772,0.23246,0.228486,0.315144,0.01207,0.026188,0.00375,0.0035,0.0866,0.00083,0.000067,0.0008,0.0008,0.001,0.05312,0.003565,0.0514,0.0507,0.0611,0.01991,0.000684,0.0197,0.0193,0.0216
mitchell_8x8_factorized,mitchell,8x8,factorized,ddnnf,0.9,0.01,OK,,27,21,2,1,1,2,"[8, 8]",64,5,16,320,8,2560,10,0.122309,0.025377,0.113022,0.100826,0.169249,10.689004,0.559194,10.58262,10.03133,12.054519,10.811313,0.565408,10.715349,10.137742,12.184385,0.00411,0.000357,0.0041,0.0037,0.0045,0.00105,0.000108,0.00105,0.0009,0.0012,0.08753,0.023072,0.07625,0.0712,0.1314,0.02865,0.003665,0.02925,0.0235,0.0335
mitchell_8x8_factorized,mitchell,8x8,factorized,darwiche,0.9,0.01,OK,,27,21,2,1,1,2,"[8, 8]",64,5,16,320,8,2560,10,0.116747,0.013489,0.112862,0.1053,0.152682,1.277949,0.049477,1.285407,1.185066,1.368462,1.394696,0.044486,1.397085,1.332828,1.490072,0.00412,0.000235,0.0041,0.0038,0.0045,0.00105,0.000053,0.00105,0.001,0.0011,0.08254,0.012779,0.07925,0.0723,0.1169,0.02803,0.001528,0.02765,0.0255,0.0304
mitchell_8x8_factorized,mitchell,8x8,factorized,sdd,0.9,0.01,OK,,27,21,2,1,1,2,"[8, 8]",64,5,16,320,8,2560,10,0.101719,0.009201,0.098419,0.097842,0.127737,0.405232,0.030509,0.387809,0.382763,0.479903,0.506951,0.032656,0.487263,0.480923,0.578344,0.00356,0.00007,0.00355,0.0035,0.0037,0.001,0.000047,0.001,0.0009,0.0011,0.0732,0.007349,0.07065,0.0702,0.094,0.02306,0.001877,0.0223,0.0219,0.0279
russell_3x4_factorized,russell,3x4,factorized,ddnnf,1,0.01,OK,,66,50,1,5,3,1,[11],11,5,11,55,43,2365,10,0.061493,0.002916,0.060481,0.057346,0.067684,1.032312,0.009183,1.034562,1.017895,1.043143,1.093805,0.009323,1.096452,1.07763,1.10422,0.00847,0.00017,0.00845,0.0082,0.0088,0.00174,0.000052,0.0017,0.0017,0.0018,0.02572,0.003023,0.0249,0.0244,0.0343,0.0234,0.002311,0.0228,0.0197,0.0269
russell_3x4_factorized,russell,3x4,factorized,darwiche,1,0.01,OK,,66,50,1,5,3,1,[11],11,5,11,55,43,2365,10,0.064016,0.006034,0.062335,0.058456,0.075553,0.216106,0.000918,0.216162,0.214458,0.217259,0.280122,0.005997,0.278497,0.272914,0.291166,0.00874,0.000212,0.0088,0.0085,0.0091,0.00181,0.000145,0.0018,0.0017,0.0022,0.02754,0.005526,0.02495,0.0245,0.0385,0.02378,0.001637,0.02435,0.0208,0.0261
